parcel,x,y,z
7Networks_RH_SomMot_34,22.188405797101453,-28.898550724637687,67.92753623188406
7Networks_RH_SomMot_35,22.272727272727266,-34.98701298701299,70.41558441558442
7Networks_RH_SomMot_36,16.82352941176471,-6.235294117647058,69.50226244343892
7Networks_RH_SomMot_37,16.07142857142857,-46.730158730158735,73.73015873015873
7Networks_RH_SomMot_38,5.460076045627375,-21.961977186311785,71.72623574144487
7Networks_RH_SomMot_39,16.266666666666666,-18.421052631578945,72.58245614035087
7Networks_RH_SomMot_40,12.78378378378379,-32.86486486486487,75.63513513513513
7Networks_RH_DorsAttn_Post_1,49.84281842818428,-49.262872628726285,-18.13279132791328
7Networks_RH_DorsAttn_Post_2,59.30930930930931,-54.648648648648646,-2.552552552552555
7Networks_RH_DorsAttn_Post_3,53.69364161849711,-55.630057803468205,12.393063583815035
7Networks_RH_DorsAttn_Post_4,45.44390243902439,-75.0829268292683,30.556097560975616
7Networks_RH_DorsAttn_Post_5,31.649253731343286,-66.54477611940298,35.42537313432835
7Networks_RH_DorsAttn_Post_6,57.15527950310559,-22.496894409937894,44.03726708074534
7Networks_RH_DorsAttn_Post_7,18.583941605839414,-79.02189781021897,50.17518248175182
7Networks_RH_DorsAttn_Post_8,43.55458515283843,-37.624454148471614,49.97379912663756
7Networks_RH_DorsAttn_Post_9,45.16981132075472,-28.20754716981132,42.91509433962264
7Networks_RH_DorsAttn_Post_10,30.938388625592417,-63.75355450236967,53.02369668246446
7Networks_RH_DorsAttn_Post_11,36.42666666666667,-44.773333333333326,45.18000000000001
7Networks_RH_DorsAttn_Post_12,20.858695652173907,-68.56521739130434,52.89673913043478
7Networks_RH_DorsAttn_Post_13,35.755656108597286,-35.972850678733025,51.53846153846153
7Networks_RH_DorsAttn_Post_14,34.0,-50.57142857142857,54.28571428571429
7Networks_RH_DorsAttn_Post_15,8.475177304964532,-70.97163120567376,52.42553191489361
7Networks_RH_DorsAttn_Post_16,26.686868686868685,-58.0959595959596,60.661616161616166
7Networks_RH_DorsAttn_Post_17,7.373493975903614,-53.714859437751,59.78313253012047
7Networks_RH_DorsAttn_Post_18,13.496124031007753,-63.968992248062015,64.75193798449612
7Networks_RH_DorsAttn_Post_19,24.44931506849315,-49.9945205479452,68.16438356164383
7Networks_RH_DorsAttn_FEF_1,39.48684210526316,-3.0855263157894797,52.875
7Networks_RH_DorsAttn_FEF_2,27.631578947368418,-3.5921052631578902,52.190789473684205
7Networks_RH_DorsAttn_FEF_3,24.75,-3.075000000000003,63.849999999999994
7Networks_RH_DorsAttn_PrCv_1,48.97905759162304,8.225130890052355,24.675392670157066
7Networks_RH_SalVentAttn_TempOccPar_1,59.27131782945736,-46.42635658914729,6.961240310077514
7Networks_RH_SalVentAttn_TempOccPar_2,52.043243243243246,-40.88648648648649,12.21621621621621
7Networks_RH_SalVentAttn_TempOccPar_3,61.21111111111111,-39.733333333333334,21.75555555555556
7Networks_RH_SalVentAttn_TempOccPar_4,57.92507204610951,-30.893371757925067,24.30547550432277
7Networks_RH_SalVentAttn_TempOccPar_5,60.35409836065574,-21.87540983606557,22.47868852459017
7Networks_RH_SalVentAttn_TempOccPar_6,62.62337662337662,-25.766233766233768,38.019480519480524
7Networks_RH_SalVentAttn_TempOccPar_7,62.10285714285715,-37.42857142857143,36.97714285714285
